"FR","Ext_AF","IA","Int_AF","Int_Fa","IP","MF","Min_man","Mix_Fa","Mix_For","Mix_P","Multifun","P-Ur","UL","UMF","Ur","VEP","EP","UNMANAGED"
"Ext_AF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Int_AF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Int_Fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Min_man",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mix_Fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mix_For",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mix_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Multifun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P-Ur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UMF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ur",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"VEP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UNMANAGED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
