"","x","y","Urban.mask"
"1",160,73,0
"2",161,74,0
"3",162,74,0
"4",160,75,0
"5",161,75,0
"6",162,75,0
"7",161,76,0
"8",162,76,0
"9",162,77,0
"10",163,77,0
"11",162,78,0
"12",163,78,0
"13",164,78,0
"14",165,78,0
"15",163,79,0
"16",164,79,0
"17",165,79,0
"18",166,79,0
"19",159,77,0
"20",160,77,0
"21",161,77,0
"22",153,78,0
"23",154,78,0
"24",157,78,0
"25",158,78,0
"26",159,78,0
"27",160,78,0
"28",161,78,0
"29",152,79,0
"30",153,79,0
"31",154,79,0
"32",155,79,0
"33",156,79,0
"34",157,79,0
"35",158,79,0
"36",159,79,0
"37",160,79,0
"38",161,79,0
"39",162,79,0
"40",151,80,0
"41",152,80,0
"42",153,80,0
"43",154,80,0
"44",155,80,0
"45",156,80,0
"46",157,80,0
"47",158,80,0
"48",159,80,0
"49",160,80,0
"50",161,80,0
"51",162,80,0
"52",163,80,0
"53",164,80,0
"54",165,80,0
"55",154,81,0
"56",155,81,0
"57",156,81,0
"58",157,81,0
"59",158,81,0
"60",159,81,0
"61",160,81,0
"62",161,81,0
"63",163,81,0
"64",164,81,0
"65",165,81,0
"66",154,82,0
"67",155,82,0
"68",156,82,0
"69",157,82,0
"70",158,82,0
"71",159,82,0
"72",160,82,0
"73",161,82,0
"74",162,82,0
"75",163,82,0
"76",164,82,0
"77",152,83,0
"78",153,83,0
"79",154,83,0
"80",155,83,0
"81",156,83,0
"82",157,83,0
"83",158,83,0
"84",159,83,0
"85",160,83,0
"86",161,83,0
"87",162,83,0
"88",163,83,0
"89",164,83,0
"90",165,83,0
"91",153,84,0
"92",154,84,0
"93",155,84,0
"94",156,84,0
"95",157,84,0
"96",158,84,0
"97",159,84,0
"98",160,84,0
"99",162,84,0
"100",163,84,0
"101",154,85,0
"102",155,85,0
"103",156,85,0
"104",162,81,0
"105",143,71,0
"106",144,71,0
"107",145,71,0
"108",146,71,0
"109",147,71,0
"110",148,71,0
"111",149,71,0
"112",150,71,0
"113",151,71,0
"114",152,71,0
"115",141,72,0
"116",142,72,0
"117",143,72,0
"118",144,72,0
"119",145,72,0
"120",146,72,0
"121",147,72,0
"122",148,72,0
"123",149,72,0
"124",150,72,0
"125",151,72,0
"126",152,72,0
"127",153,72,0
"128",141,73,0
"129",142,73,0
"130",143,73,0
"131",144,73,0
"132",145,73,0
"133",146,73,0
"134",147,73,0
"135",148,73,0
"136",149,73,0
"137",150,73,0
"138",151,73,0
"139",152,73,0
"140",153,73,0
"141",140,74,0
"142",154,72,0
"143",155,72,0
"144",156,72,0
"145",157,72,0
"146",158,72,0
"147",159,72,0
"148",154,73,0
"149",155,73,0
"150",156,73,0
"151",157,73,0
"152",158,73,0
"153",159,73,0
"154",147,74,0
"155",148,74,0
"156",149,74,0
"157",150,74,0
"158",151,74,0
"159",152,74,0
"160",153,74,0
"161",154,74,0
"162",155,74,0
"163",156,74,0
"164",157,74,0
"165",158,74,0
"166",159,74,0
"167",160,74,0
"168",147,75,0
"169",148,75,0
"170",149,75,0
"171",150,75,0
"172",151,75,0
"173",152,75,0
"174",153,75,0
"175",154,75,0
"176",155,75,0
"177",156,75,0
"178",157,75,0
"179",158,75,0
"180",159,75,0
"181",146,76,0
"182",147,76,0
"183",148,76,0
"184",149,76,0
"185",150,76,0
"186",151,76,0
"187",152,76,0
"188",153,76,0
"189",154,76,0
"190",155,76,0
"191",156,76,0
"192",157,76,0
"193",158,76,0
"194",159,76,0
"195",160,76,0
"196",146,77,0
"197",147,77,0
"198",148,77,0
"199",149,77,0
"200",150,77,0
"201",151,77,0
"202",152,77,0
"203",153,77,0
"204",154,77,0
"205",155,77,0
"206",156,77,0
"207",157,77,0
"208",158,77,0
"209",152,78,0
"210",155,78,0
"211",156,78,0
"212",145,77,0
"213",145,78,0
"214",146,78,0
"215",147,78,0
"216",148,78,0
"217",149,78,0
"218",150,78,0
"219",151,78,0
"220",144,79,0
"221",145,79,0
"222",146,79,0
"223",147,79,0
"224",148,79,0
"225",149,79,0
"226",150,79,0
"227",151,79,0
"228",141,80,0
"229",142,80,0
"230",143,80,0
"231",144,80,0
"232",145,80,0
"233",146,80,0
"234",147,80,0
"235",148,80,0
"236",149,80,0
"237",150,80,0
"238",142,81,0
"239",143,81,0
"240",144,81,0
"241",145,81,0
"242",146,81,0
"243",147,81,0
"244",148,81,0
"245",149,81,0
"246",150,81,0
"247",151,81,0
"248",152,81,0
"249",153,81,0
"250",145,82,0
"251",146,82,0
"252",147,82,0
"253",148,82,0
"254",149,82,0
"255",150,82,0
"256",151,82,0
"257",152,82,0
"258",153,82,0
"259",147,83,0
"260",148,83,0
"261",150,83,0
"262",151,83,0
"263",137,74,0
"264",141,74,0
"265",142,74,0
"266",143,74,0
"267",144,74,0
"268",145,74,0
"269",146,74,0
"270",137,75,0
"271",138,75,0
"272",139,75,0
"273",140,75,0
"274",141,75,0
"275",142,75,0
"276",143,75,0
"277",144,75,0
"278",145,75,0
"279",146,75,0
"280",140,76,0
"281",141,76,0
"282",142,76,0
"283",143,76,0
