Year,Meat,Crops,Diversity,Timber,Carbon ,Urban,Recreation
2016,1108954.915,2483703.551,14832.221,61679.319,21141382.62,11.362,3356.413
2017,1104772.124,2590403.396,14665.4989,62087.7871,20660617.46,13.4258,3803.2717
2018,1100589.332,2697103.241,14498.7768,62496.2552,20179852.3,15.4896,4250.1304
2019,1096406.541,2803803.086,14332.0547,62904.7233,19699087.13,17.5534,4696.9891
2020,1092223.749,2910502.931,14165.3326,63313.1914,19218321.97,19.6172,5143.8478
2021,1088040.958,3017202.776,13998.6105,63721.6595,18737556.81,21.681,5590.7065
2022,1083858.166,3123902.62,13831.8884,64130.1276,18256791.65,23.7448,6037.5652
2023,1079675.375,3230602.465,13665.1663,64538.5957,17776026.49,25.8086,6484.4239
2024,1075492.583,3337302.31,13498.4442,64947.0638,17295261.32,27.8724,6931.2826
2025,1071309.792,3444002.155,13331.7221,65355.5319,16814496.16,29.9362,7378.1413
2026,1067127,3550702,13165,65764,16333731,32,7825
2027,1097984.133,3628454.833,13196.73333,68337.56667,16543862.97,34.5,7878.333333
2028,1128841.267,3706207.667,13228.46667,70911.13333,16753994.93,37,7931.666667
2029,1159698.4,3783960.5,13260.2,73484.7,16964126.9,39.5,7985
2030,1190555.533,3861713.333,13291.93333,76058.26667,17174258.87,42,8038.333333
2031,1221412.667,3939466.167,13323.66667,78631.83333,17384390.83,44.5,8091.666667
2032,1252269.8,4017219,13355.4,81205.4,17594522.8,47,8145
2033,1283126.933,4094971.833,13387.13333,83778.96667,17804654.77,49.5,8198.333333
2034,1313984.067,4172724.667,13418.86667,86352.53333,18014786.73,52,8251.666667
2035,1344841.2,4250477.5,13450.6,88926.1,18224918.7,54.5,8305
2036,1375698.333,4328230.333,13482.33333,91499.66667,18435050.67,57,8358.333333
2037,1406555.467,4405983.167,13514.06667,94073.23333,18645182.63,59.5,8411.666667
2038,1437412.6,4483736,13545.8,96646.8,18855314.6,62,8465
2039,1468269.733,4561488.833,13577.53333,99220.36667,19065446.57,64.5,8518.333333
2040,1499126.867,4639241.667,13609.26667,101793.9333,19275578.53,67,8571.666667
2041,1529984,4716994.5,13641,104367.5,19485710.5,69.5,8625
2042,1560841.133,4794747.333,13672.73333,106941.0667,19695842.47,72,8678.333333
2043,1591698.267,4872500.167,13704.46667,109514.6333,19905974.43,74.5,8731.666667
2044,1622555.4,4950253,13736.2,112088.2,20116106.4,77,8785
2045,1653412.533,5028005.833,13767.93333,114661.7667,20326238.37,79.5,8838.333333
2046,1684269.667,5105758.667,13799.66667,117235.3333,20536370.33,82,8891.666667
2047,1715126.8,5183511.5,13831.4,119808.9,20746502.3,84.5,8945
2048,1745983.933,5261264.333,13863.13333,122382.4667,20956634.27,87,8998.333333
2049,1776841.067,5339017.167,13894.86667,124956.0333,21166766.23,89.5,9051.666667
2050,1807698.2,5416770,13926.6,127529.6,21376898.2,92,9105
2051,1838555.333,5494522.833,13958.33333,130103.1667,21587030.17,94.5,9158.333333
2052,1869412.467,5572275.667,13990.06667,132676.7333,21797162.13,97,9211.666667
2053,1900269.6,5650028.5,14021.8,135250.3,22007294.1,99.5,9265
2054,1931126.733,5727781.333,14053.53333,137823.8667,22217426.07,102,9318.333333
2055,1961983.867,5805534.167,14085.26667,140397.4333,22427558.03,104.5,9371.666667
2056,1992841,5883287,14117,142971,22637690,107,9425
2057,1997236.833,5863413.067,14127.4,141972.5667,22741996.63,107,9522.733333
2058,2001632.667,5843539.133,14137.8,140974.1333,22846303.27,107,9620.466667
2059,2006028.5,5823665.2,14148.2,139975.7,22950609.9,107,9718.2
2060,2010424.333,5803791.267,14158.6,138977.2667,23054916.53,107,9815.933333
2061,2014820.167,5783917.333,14169,137978.8333,23159223.17,107,9913.666667
2062,2019216,5764043.4,14179.4,136980.4,23263529.8,107,10011.4
2063,2023611.833,5744169.467,14189.8,135981.9667,23367836.43,107,10109.13333
2064,2028007.667,5724295.533,14200.2,134983.5333,23472143.07,107,10206.86667
2065,2032403.5,5704421.6,14210.6,133985.1,23576449.7,107,10304.6
2066,2036799.333,5684547.667,14221,132986.6667,23680756.33,107,10402.33333
2067,2041195.167,5664673.733,14231.4,131988.2333,23785062.97,107,10500.06667
2068,2045591,5644799.8,14241.8,130989.8,23889369.6,107,10597.8
2069,2049986.833,5624925.867,14252.2,129991.3667,23993676.23,107,10695.53333
2070,2054382.667,5605051.933,14262.6,128992.9333,24097982.87,107,10793.26667
2071,2058778.5,5585178,14273,127994.5,24202289.5,107,10891
2072,2063174.333,5565304.067,14283.4,126996.0667,24306596.13,107,10988.73333
2073,2067570.167,5545430.133,14293.8,125997.6333,24410902.77,107,11086.46667
2074,2071966,5525556.2,14304.2,124999.2,24515209.4,107,11184.2
2075,2076361.833,5505682.267,14314.6,124000.7667,24619516.03,107,11281.93333
2076,2080757.667,5485808.333,14325,123002.3333,24723822.67,107,11379.66667
2077,2085153.5,5465934.4,14335.4,122003.9,24828129.3,107,11477.4
2078,2089549.333,5446060.467,14345.8,121005.4667,24932435.93,107,11575.13333
2079,2093945.167,5426186.533,14356.2,120007.0333,25036742.57,107,11672.86667
2080,2098341,5406312.6,14366.6,119008.6,25141049.2,107,11770.6
2081,2102736.833,5386438.667,14377,118010.1667,25245355.83,107,11868.33333
2082,2107132.667,5366564.733,14387.4,117011.7333,25349662.47,107,11966.06667
2083,2111528.5,5346690.8,14397.8,116013.3,25453969.1,107,12063.8
2084,2115924.333,5326816.867,14408.2,115014.8667,25558275.73,107,12161.53333
2085,2120320.167,5306942.933,14418.6,114016.4333,25662582.37,107,12259.26667
2086,2124716,5287069,14429,113018,25766889,107,12357
