,X,Latitude,Longitude,Crop.productivity,Forest.productivity,Grassland.productivity,Financial.capital,Human.capital,Social.capital,Manufactured.capital,Urban.capital,FR,BT,Region
1,1,73,160,0.384626502,0.18026224,0.413186214,0.624110478,0.580604373,0.608155398,0.679367708,0.018665655,IA,0,AT
2,2,74,161,0.362729614,0.179707804,0.415452853,0.622190889,0.578818597,0.606284883,0.677278163,0.030416135,Int_AF,0,AT
3,3,74,162,0.307664764,0.179707804,0.413355294,0.622190889,0.578818597,0.606284883,0.677278163,0.022441172,Int_AF,0,AT
4,4,75,160,0.403098166,0.179151835,0.413379071,0.61776916,0.582949692,0.604409197,0.609126547,0.057034304,Int_Fa,0,AT
5,5,75,161,0.359751574,0.179151835,0.414401651,0.620265994,0.577027884,0.604409197,0.675182843,0.064852529,Int_AF,0,AT
6,6,75,162,0.304039462,0.179151835,0.412397404,0.620265994,0.577027884,0.604409197,0.675182843,0.03973384,Int_Fa,0,AT
7,7,76,161,0,0.205384615,0,0.618335527,0.575231988,0.602528081,0.673081457,0.031614414,MF,0,AT
8,8,76,162,0.308805334,0.179595909,0.412049399,0.618335527,0.575231988,0.602528081,0.673081457,0.027901783,Int_AF,0,AT
9,9,77,162,0.347615045,0.178564701,0.410773293,0.616399753,0.573431156,0.600641795,0.670974295,0.063092129,Int_AF,0,AT
10,10,77,163,0.115176074,0.150133068,0.295987205,0.616399753,0.573431156,0.600641795,0.670974295,0.044937065,EP,0,AT
11,11,78,162,0.228955972,0.228713617,0.299753177,0.614458673,0.571625387,0.598750338,0.668861356,0.076072203,Ext_AF,0,AT
12,12,78,163,0.061881695,0.238133681,0.293368104,0.370237387,0.548763822,0.485875765,0.571920332,0.102900693,Multifun,0,AT
13,13,78,164,0.0945256,0.154913949,0.442700404,0.614458673,0.571625387,0.598750338,0.668861356,0.012140851,Multifun,0,AT
14,14,78,165,0.1804873,0.207588314,0.442700404,0.614458673,0.571625387,0.598750338,0.668861356,0.025973747,Int_AF,0,AT
15,15,79,163,0.357177268,0.207274431,0.293655138,0.623542429,0.595441464,0.596853452,0.689188397,0.0645026,Multifun,0,AT
16,16,79,164,0,0.180483875,0.289195178,0.612512022,0.569814434,0.596853452,0.666742353,0.02709996,Multifun,0,AT
17,17,79,165,0.096373923,0.230853893,0.288592671,0.612512022,0.569814434,0.596853452,0.666742353,0.053921704,MF,0,AT
18,18,79,166,0.172141583,0.115537307,0.288247963,0.612512022,0.569814434,0.596853452,0.666742353,0.033420676,IA,0,AT
19,19,77,159,0,0.220686398,0,0.627500173,0.599220845,0.600641795,0.693562808,0.015206507,MF,0,AT
20,20,77,160,0,0.224800246,0,0.627500173,0.599220845,0.600641795,0.693562808,0.027385711,MF,0,AT
21,21,77,161,0,0.224382537,0,0.627500173,0.599220845,0.600641795,0.693562808,0.017577602,MF,0,AT
22,22,78,153,0,0,0.495666151,0.625524137,0.597333863,0.598750338,0.691378737,0.003009047,Multifun,0,AT
23,23,78,154,0,0.079117463,0.305855079,0.625524137,0.597333863,0.598750338,0.691378737,0,Ext_AF,0,AT
24,24,78,157,0,0.079117463,0.305855079,0.625524137,0.597333863,0.598750338,0.691378737,0.003663188,MF,0,AT
25,25,78,158,0,0.086972298,0.305855079,0.625524137,0.597333863,0.598750338,0.691378737,0.015751708,Ext_AF,0,AT
26,26,78,159,0,0.092942716,0.286236631,0.625524137,0.597333863,0.598750338,0.691378737,0.052592912,MF,0,AT
27,27,78,160,0.115554215,0,0.330168738,0.625524137,0.597333863,0.598750338,0.691378737,0.119184436,Multifun,0,AT
28,28,78,161,0.3874898,0.178131437,0.352727599,0.625524137,0.597333863,0.598750338,0.691378737,0.141791538,Multifun,0,AT
29,29,79,152,0.095184999,0.248981369,0.47944329,0.623542429,0.595441464,0.596853452,0.689188397,0.031090618,MF,0,AT
30,30,79,153,0,0.081194037,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.004538396,MF,0,AT
31,31,79,154,0,0.07971974,0.304886059,0.623542429,0.595441464,0.596853452,0.689188397,0.017579762,MF,0,AT
32,32,79,155,0,0.079885589,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.001182417,MF,0,AT
33,33,79,156,0,0.078866805,0.304886059,0.623542429,0.595441464,0.596853452,0.689188397,0.007172752,MF,0,AT
34,34,79,157,0,0.081344673,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.0137456,MF,0,AT
35,35,79,158,0,0.078866813,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.006059888,MF,0,AT
36,36,79,159,0,0.109937462,0.29209071,0.623542429,0.595441464,0.596853452,0.689188397,0.015197539,MF,0,AT
37,37,79,160,0.118305848,0,0.329122739,0.623542429,0.595441464,0.596853452,0.689188397,0.064189607,UMF,0,AT
38,38,79,161,0.355632139,0,0.309260964,0.623542429,0.595441464,0.596853452,0.689188397,0.225041824,Multifun,0,AT
39,39,79,162,0.358707393,0.228685207,0.295674486,0.623542429,0.595441464,0.596853452,0.689188397,0.093654401,Int_AF,0,AT
40,40,80,151,0.08040554,0.248037275,0.460171327,0.62155559,0.593544165,0.594951653,0.686992385,0.023113666,IP,0,AT
41,41,80,152,0,0.188768456,0,0.62155559,0.593544165,0.594951653,0.686992385,0.050083942,MF,0,AT
42,42,80,153,0,0.183681597,0,0.62155559,0.593544165,0.594951653,0.686992385,0.040620079,MF,0,AT
