x,y,Crop.productivity,Forest.productivity,Grassland.productivity,Financial.capital,Human.capital,Social.capital,Manufactured.capital,Urban.capital,FR,BT
160,73,0.384626502,0.18026224,0.413186214,0.624110478,0.580604373,0.608155398,0.679367708,0.018665655,IA,0
161,74,0.362729614,0.179707804,0.415452853,0.622190889,0.578818597,0.606284883,0.677278163,0.030416135,Int_AF,0
162,74,0.307664764,0.179707804,0.413355294,0.622190889,0.578818597,0.606284883,0.677278163,0.022441172,Int_AF,0
160,75,0.403098166,0.179151835,0.413379071,0.61776916,0.582949692,0.604409197,0.609126547,0.057034304,Int_Fa,0
161,75,0.359751574,0.179151835,0.414401651,0.620265994,0.577027884,0.604409197,0.675182843,0.064852529,Int_AF,0
162,75,0.304039462,0.179151835,0.412397404,0.620265994,0.577027884,0.604409197,0.675182843,0.03973384,Int_Fa,0
161,76,0,0.205384615,0,0.618335527,0.575231988,0.602528081,0.673081457,0.031614414,MF,0
162,76,0.308805334,0.179595909,0.412049399,0.618335527,0.575231988,0.602528081,0.673081457,0.027901783,Int_AF,0
162,77,0.347615045,0.178564701,0.410773293,0.616399753,0.573431156,0.600641795,0.670974295,0.063092129,Int_AF,0
163,77,0.115176074,0.150133068,0.295987205,0.616399753,0.573431156,0.600641795,0.670974295,0.044937065,EP,0
162,78,0.228955972,0.228713617,0.299753177,0.614458673,0.571625387,0.598750338,0.668861356,0.076072203,Ext_AF,0
163,78,0.061881695,0.238133681,0.293368104,0.370237387,0.548763822,0.485875765,0.571920332,0.102900693,Multifun,0
164,78,0.0945256,0.154913949,0.442700404,0.614458673,0.571625387,0.598750338,0.668861356,0.012140851,Multifun,0
165,78,0.1804873,0.207588314,0.442700404,0.614458673,0.571625387,0.598750338,0.668861356,0.025973747,Int_AF,0
163,79,0.357177268,0.207274431,0.293655138,0.623542429,0.595441464,0.596853452,0.689188397,0.0645026,Multifun,0
164,79,0,0.180483875,0.289195178,0.612512022,0.569814434,0.596853452,0.666742353,0.02709996,Multifun,0
165,79,0.096373923,0.230853893,0.288592671,0.612512022,0.569814434,0.596853452,0.666742353,0.053921704,MF,0
166,79,0.172141583,0.115537307,0.288247963,0.612512022,0.569814434,0.596853452,0.666742353,0.033420676,IA,0
159,77,0,0.220686398,0,0.627500173,0.599220845,0.600641795,0.693562808,0.015206507,MF,0
160,77,0,0.224800246,0,0.627500173,0.599220845,0.600641795,0.693562808,0.027385711,MF,0
161,77,0,0.224382537,0,0.627500173,0.599220845,0.600641795,0.693562808,0.017577602,MF,0
153,78,0,0,0.495666151,0.625524137,0.597333863,0.598750338,0.691378737,0.003009047,Multifun,0
154,78,0,0.079117463,0.305855079,0.625524137,0.597333863,0.598750338,0.691378737,0,Ext_AF,0
157,78,0,0.079117463,0.305855079,0.625524137,0.597333863,0.598750338,0.691378737,0.003663188,MF,0
158,78,0,0.086972298,0.305855079,0.625524137,0.597333863,0.598750338,0.691378737,0.015751708,Ext_AF,0
159,78,0,0.092942716,0.286236631,0.625524137,0.597333863,0.598750338,0.691378737,0.052592912,MF,0
160,78,0.115554215,0,0.330168738,0.625524137,0.597333863,0.598750338,0.691378737,0.119184436,Multifun,0
161,78,0.3874898,0.178131437,0.352727599,0.625524137,0.597333863,0.598750338,0.691378737,0.141791538,Multifun,0
152,79,0.095184999,0.248981369,0.47944329,0.623542429,0.595441464,0.596853452,0.689188397,0.031090618,MF,0
153,79,0,0.081194037,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.004538396,MF,0
154,79,0,0.07971974,0.304886059,0.623542429,0.595441464,0.596853452,0.689188397,0.017579762,MF,0
155,79,0,0.079885589,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.001182417,MF,0
156,79,0,0.078866805,0.304886059,0.623542429,0.595441464,0.596853452,0.689188397,0.007172752,MF,0
157,79,0,0.081344673,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.0137456,MF,0
158,79,0,0.078866813,0.304886107,0.623542429,0.595441464,0.596853452,0.689188397,0.006059888,MF,0
159,79,0,0.109937462,0.29209071,0.623542429,0.595441464,0.596853452,0.689188397,0.015197539,MF,0
160,79,0.118305848,0,0.329122739,0.623542429,0.595441464,0.596853452,0.689188397,0.064189607,UMF,0
161,79,0.355632139,0,0.309260964,0.623542429,0.595441464,0.596853452,0.689188397,0.225041824,Multifun,0
162,79,0.358707393,0.228685207,0.295674486,0.623542429,0.595441464,0.596853452,0.689188397,0.093654401,Int_AF,0
151,80,0.08040554,0.248037275,0.460171327,0.62155559,0.593544165,0.594951653,0.686992385,0.023113666,IP,0
152,80,0,0.188768456,0,0.62155559,0.593544165,0.594951653,0.686992385,0.050083942,MF,0
153,80,0,0.183681597,0,0.62155559,0.593544165,0.594951653,0.686992385,0.040620079,MF,0
154,80,0.239002917,0,0.436770192,0.62155559,0.593544165,0.594951653,0.686992385,0.037040798,Int_Fa,0
155,80,0.243189836,0,0.436770241,0.62155559,0.593544165,0.594951653,0.686992385,0.010209186,Int_Fa,0
156,80,0.240985222,0,0.437884928,0.62155559,0.593544165,0.594951653,0.686992385,0.019491051,Int_Fa,0
157,80,0.23467123,0,0.443124155,0.62155559,0.593544165,0.594951653,0.686992385,0.057866505,Int_Fa,0
158,80,0.11971272,0,0.329352732,0.62155559,0.593544165,0.594951653,0.686992385,0.029856235,Mix_Fa,0
159,80,0,0.122494439,0,0.62155559,0.593544165,0.594951653,0.686992385,0.027836931,MF,0
160,80,0.128722174,0,0.328074031,0.62155559,0.593544165,0.594951653,0.686992385,0.03022023,Multifun,0
161,80,0.23084434,0.433111692,0.311584884,0.62155559,0.593544165,0.594951653,0.686992385,0.318400062,Multifun,0
162,80,0.2313007,0.433111773,0.324561913,0.62155559,0.593544165,0.594951653,0.686992385,0.232020645,Multifun,0
163,80,0.082160637,0,0.324561913,0.62155559,0.593544165,0.594951653,0.686992385,0.094083973,IA,0
164,80,0.230874493,0.225838971,0.311230317,0.62155559,0.593544165,0.594951653,0.686992385,0.049693948,IA,0
165,80,0.357405149,0.276889831,0.295405211,0.62155559,0.593544165,0.594951653,0.686992385,0.044572031,Int_AF,0
154,81,0,0.216637718,0,0.619563078,0.591641449,0.593044425,0.684790104,0.025881722,MF,0
155,81,0.388400379,0,0.34936621,0.619563078,0.591641449,0.593044425,0.684790104,0.036576506,Multifun,0
156,81,0.387793827,0,0.348667164,0.619563078,0.591641449,0.593044425,0.684790104,0.027661307,IA,0
157,81,0.502917124,0,0.435370093,0.619563078,0.591641449,0.593044425,0.684790104,0.08110931,Int_Fa,0
158,81,0.350807345,0,0.301580142,0.619563078,0.591641449,0.593044425,0.684790104,0.059952988,IA,0
159,81,0.35172497,0,0.31959728,0.619563078,0.591641449,0.593044425,0.684790104,0.086162984,IA,0
160,81,0.351541282,0,0.323521469,0.619563078,0.591641449,0.593044425,0.684790104,0.127214367,Multifun,0
161,81,0.227306195,0.431723353,0.320507966,0.619563078,0.591641449,0.593044425,0.684790104,0.297605252,Multifun,0
163,81,0.081902328,0.387012973,0.323521421,0.619563078,0.591641449,0.593044425,0.684790104,0.124432687,Mix_Fa,0
164,81,0.081893091,0,0.323521469,0.619563078,0.591641449,0.593044425,0.684790104,0.05228177,IA,0
165,81,0.298030635,0.294218212,0.317226514,0.619563078,0.591641449,0.593044425,0.684790104,0.038459756,Mix_Fa,0
154,82,0,0.204593693,0,0.617565164,0.589733575,0.591132027,0.682581852,0.005665973,MF,0
155,82,0,0.220617457,0,0.617565164,0.589733575,0.591132027,0.682581852,0.015792394,MF,0
156,82,0.217384456,0.122676893,0.308385947,0.617565164,0.589733575,0.591132027,0.682581852,0.018220668,Multifun,0
157,82,0.386204156,0,0.348239652,0.617565164,0.589733575,0.591132027,0.682581852,0.062902636,Multifun,0
158,82,0.352408514,0,0,0.617565164,0.589733575,0.591132027,0.682581852,0.057658597,IA,0
159,82,0.228929086,0,0.3092322,0.617565164,0.589733575,0.591132027,0.682581852,0.048522431,IA,0
160,82,0.229070891,0,0.3092322,0.617565164,0.589733575,0.591132027,0.682581852,0.045990826,IA,0
161,82,0.228556504,0,0.322478205,0.617565164,0.589733575,0.591132027,0.682581852,0.091800822,IA,0
162,82,0.227149529,0,0.29536019,0.617565164,0.589733575,0.591132027,0.682581852,0.078961976,IA,0
163,82,0.229679794,0,0.295360141,0.617565164,0.589733575,0.591132027,0.682581852,0.069825801,IA,0
164,82,0.239315558,0,0.311158597,0.617565164,0.589733575,0.591132027,0.682581852,0.062403204,IA,0
152,83,0.103357287,0.197905315,0.275118621,0.615562119,0.5878208,0.589214716,0.680367927,0.005458771,Int_AF,0
153,83,0.10307867,0.197933697,0.251111251,0.615562119,0.5878208,0.589214716,0.680367927,0.007338442,MF,0
154,83,0,0.184207284,0,0.615562119,0.5878208,0.589214716,0.680367927,0.021775001,MF,0
155,83,0.218689707,0.115487151,0.307165743,0.615562119,0.5878208,0.589214716,0.680367927,0.025714586,Mix_Fa,0
156,83,0.218525183,0.121819768,0.307385663,0.615562119,0.5878208,0.589214716,0.680367927,0.019500514,Multifun,0
157,83,0.382205557,0,0.347110104,0.615562119,0.5878208,0.589214716,0.680367927,0.01943185,Multifun,0
158,83,0.354563689,0,0.307941731,0.615562119,0.5878208,0.589214716,0.680367927,0.033121691,IA,0
159,83,0.219963275,0,0.285656198,0.615562119,0.5878208,0.589214716,0.680367927,0.047223515,IA,0
160,83,0.215628097,0,0.285656198,0.615562119,0.5878208,0.589214716,0.680367927,0.055772156,IA,0
161,83,0.212649137,0,0,0.615562119,0.5878208,0.589214716,0.680367927,0.037576254,IA,0
162,83,0.210383209,0,0.289174383,0.615562119,0.5878208,0.589214716,0.680367927,0.051720992,IA,0
163,83,0.228487066,0,0,0.615562119,0.5878208,0.589214716,0.680367927,0.061866075,IA,0
164,83,0.228478269,0,0.294402202,0.615562119,0.5878208,0.589214716,0.680367927,0.05725701,IA,0
165,83,0.305449113,0.284116025,0.319033063,0.615562119,0.5878208,0.589214716,0.680367927,0.042468548,Mix_Fa,0
153,84,0.301642033,0.137848222,0.418124154,0.613553401,0.585902608,0.587291976,0.678147734,0.039138962,Int_AF,0
154,84,0.21888632,0.130061318,0.284827245,0.613553401,0.585902608,0.587291976,0.678147734,0.039079077,IA,0
155,84,0.213121515,0,0.284827245,0.613553401,0.585902608,0.587291976,0.678147734,0.036238838,IA,0
156,84,0.212434305,0,0.284827245,0.613553401,0.585902608,0.587291976,0.678147734,0.019539539,IA,0
157,84,0.207265504,0,0,0.613553401,0.585902608,0.587291976,0.678147734,0.018247739,IA,0
158,84,0.207813124,0,0.306936848,0.613553401,0.585902608,0.587291976,0.678147734,0.024578413,IA,0
159,84,0.462206753,0,0.315385982,0.613553401,0.585902608,0.587291976,0.678147734,0.037770168,Mix_Fa,0
160,84,0.485397939,0,0.309606258,0.613553401,0.585902608,0.587291976,0.678147734,0.040516311,IA,0
162,84,0.480766713,0,0.307860093,0.613553401,0.585902608,0.587291976,0.678147734,0.049832667,IA,0
163,84,0.334050583,0,0.496716644,0.613553401,0.585902608,0.587291976,0.678147734,0.049610238,IA,0
154,85,0.315097715,0.123211412,0,0.611539282,0.583979259,0.585364065,0.67592157,0.021777654,IA,0
155,85,0.303375592,0.128002403,0.413507923,0.611539282,0.583979259,0.585364065,0.67592157,0.010692709,IA,0
156,85,0.303271427,0,0.321690809,0.611539282,0.583979259,0.585364065,0.67592157,0.019185482,IA,0
162,81,0.081927258,0.408994181,0.322893877,0.618402606,0.669399063,0.593044425,0.816198602,0.553528492,P-Ur,0
143,71,0,0,0.247584641,0.623010848,0.602939103,0.6118804,0.56534008,0.011934693,EP,0
144,71,0,0,0.244666242,0.623010848,0.602939103,0.6118804,0.56534008,0.01956434,Multifun,0
145,71,0,0.242699559,0.441892807,0.623010848,0.602939103,0.6118804,0.56534008,0.033451011,MF,0
146,71,0,0.237804891,0.47035475,0.623010848,0.602939103,0.6118804,0.56534008,0.068283558,MF,0
147,71,0,0.523602416,0.434440875,0.623010848,0.602939103,0.6118804,0.56534008,0.11988172,Int_AF,0
148,71,0,0.504279836,0.437030228,0.623010848,0.602939103,0.6118804,0.56534008,0.07962108,Int_AF,0
149,71,0,0.524960422,0.434440825,0.623010848,0.602939103,0.6118804,0.56534008,0.164705896,Int_AF,0
150,71,0,0.498575805,0.437415969,0.623010848,0.602939103,0.6118804,0.56534008,0.059548682,Int_AF,0
151,71,0,0.516740467,0.438976361,0.623010848,0.602939103,0.6118804,0.56534008,0.040055647,MF,0
152,71,0,0.45734255,0.47035475,0.623010848,0.602939103,0.6118804,0.56534008,0.024145694,MF,0
