"","x","y","Crop.productivity","Forest.productivity","Grassland.productivity","Financial.capital","Human.capital","Social.capital","Manufactured.capital","Urban.capital"
"1",160,73,0.47153689,0,0.28213487,0.46862499,0.55828624,0.66585453,0.64850786,0.02310761
"2",161,74,0.39614974,0,0.28126709,0.46718363,0.55656911,0.66380654,0.64651323,0.03041613
"3",162,74,0.38626461,0,0.27627898,0.46718363,0.55656911,0.66380654,0.64651323,0.02244919
"4",160,75,0.49319753,0,0.27542425,0.46391165,0.56155281,0.6617529,0.57839276,0.06596516
"5",161,75,0.40267289,0,0.2801472,0.46573829,0.55484723,0.6617529,0.64451309,0.06485253
"6",162,75,0.37947433,0,0.29095358,0.46573829,0.55484723,0.6617529,0.64451309,0.03974682
"7",161,76,0.17339881,0.24163262,0.16642132,0.46428876,0.55312037,0.65969331,0.64250715,0.03267235
"8",162,76,0.39526754,0,0.29195498,0.46428876,0.55312037,0.65969331,0.64250715,0.02790178
"9",162,77,0.56608878,0,0,0.46283525,0.55138876,0.65762806,0.64049571,0.06421192
"10",163,77,0.36164744,0,0.2624025,0.46283525,0.55138876,0.65762806,0.64049571,0.04585227
"11",162,78,0.49421554,0,0.27299737,0.46137775,0.5496524,0.65555715,0.63847875,0.07622637
"12",163,78,0.35770529,0,0.27299732,0.28392677,0.49775234,0.55897549,0.56028107,0.10557197
"13",164,78,0.42735045,0,0.18927617,0.46137775,0.5496524,0.65555715,0.63847875,0.01214085
"14",165,78,0.42534444,0,0.18893154,0.46137775,0.5496524,0.65555715,0.63847875,0.02627269
"15",163,79,0.56756815,0,0.27510265,0.46797476,0.57000363,0.6534803,0.65890204,0.07370013
"16",164,79,0.40168813,0,0.26167135,0.45991607,0.54791106,0.6534803,0.636456,0.02754004
"17",165,79,0.41121916,0,0.18171886,0.45991607,0.54791106,0.6534803,0.636456,0.05418432
"18",166,79,0.51943959,0.31635975,0.17795367,0.45991607,0.54791106,0.6534803,0.636456,0.03589055
"19",159,77,0.32263026,0.23881131,0.17866188,0.47094508,0.57362155,0.65762806,0.66308422,0.01902734
"20",160,77,0.32311813,0.24302774,0,0.47094508,0.57362155,0.65762806,0.66308422,0.0350211
"21",161,77,0.2346935,0.24270654,0,0.47094508,0.57362155,0.65762806,0.66308422,0.02159188
"22",153,78,0.02609113,0,0.2965642,0.46946205,0.57181518,0.65555715,0.66099613,0.00331081
"23",154,78,0,0.25533231,0,0.46946205,0.57181518,0.65555715,0.66099613,0
"24",157,78,0,0.25533234,0,0.46946205,0.57181518,0.65555715,0.66099613,0.00559028
"25",158,78,0,0.26331996,0,0.46946205,0.57181518,0.65555715,0.66099613,0.018917
"26",159,78,0,0.26939131,0,0.46946205,0.57181518,0.65555715,0.66099613,0.06428124
"27",160,78,0.57611077,0,0.29604217,0.46946205,0.57181518,0.65555715,0.66099613,0.14597489
"28",161,78,0.56382521,0,0.29029295,0.46946205,0.57181518,0.65555715,0.66099613,0.16765797
"29",152,79,0.08435188,0.2493272,0.28540775,0.46797476,0.57000363,0.6534803,0.65890204,0.03921185
"30",153,79,0,0.26758363,0,0.46797476,0.57000363,0.6534803,0.65890204,0.00535946
"31",154,79,0,0.25930655,0,0.46797476,0.57000363,0.6534803,0.65890204,0.02009749
"32",155,79,0,0.26023941,0,0.46797476,0.57000363,0.6534803,0.65890204,0.00140842
"33",156,79,0,0.2545234,0,0.46797476,0.57000363,0.6534803,0.65890204,0.00870094
"34",157,79,0,0.26842575,0,0.46797476,0.57000363,0.6534803,0.65890204,0.01668857
"35",158,79,0,0.25452343,0,0.46797476,0.57000363,0.6534803,0.65890204,0.00740549
"36",159,79,0.32633173,0,0.30393384,0.46797476,0.57000363,0.6534803,0.65890204,0.0191305
"37",160,79,0.6020919,0,0.3094176,0.46797476,0.57000363,0.6534803,0.65890204,0.08472571
"38",161,79,0.54197785,0,0.19893896,0.46797476,0.57000363,0.6534803,0.65890204,0.28137778
"39",162,79,0.59568611,0,0.28838604,0.46797476,0.57000363,0.6534803,0.65890204,0.11088854
"40",151,80,0.07823051,0.24835403,0.27942327,0.46648361,0.56818738,0.65139807,0.65680254,0.02976441
"41",152,80,0.17340957,0.24967104,0.17508497,0.46648361,0.56818738,0.65139807,0.65680254,0.06203485
"42",153,80,0.17353193,0.26314309,0.175085,0.46648361,0.56818738,0.65139807,0.65680254,0.04905308
"43",154,80,0.57202366,0,0.31045948,0.46648361,0.56818738,0.65139807,0.65680254,0.04589296
"44",155,80,0.59830278,0,0.31135163,0.46648361,0.56818738,0.65139807,0.65680254,0.01188157
"45",156,80,0.59059218,0,0.30843168,0.46648361,0.56818738,0.65139807,0.65680254,0.02459564
"46",157,80,0.56986036,0,0.29416401,0.46648361,0.56818738,0.65139807,0.65680254,0.07221307
"47",158,80,0.58426811,0,0.29398828,0.46648361,0.56818738,0.65139807,0.65680254,0.03866659
"48",159,80,0.29337712,0.0937073,0.28292939,0.46648361,0.56818738,0.65139807,0.65680254,0.03624001
"49",160,80,0.5226647,0,0.30601611,0.46648361,0.56818738,0.65139807,0.65680254,0.04122036
"50",161,80,0.59467188,0,0.20440612,0.46648361,0.56818738,0.65139807,0.65680254,0.36130883
"51",162,80,0.59233702,0,0.29213195,0.46648361,0.56818738,0.65139807,0.65680254,0.26444612
"52",163,80,0.59413458,0,0.29213195,0.46648361,0.56818738,0.65139807,0.65680254,0.11977272
"53",164,80,0.59293499,0,0.2805834,0.46648361,0.56818738,0.65139807,0.65680254,0.0647782
"54",165,80,0.58879271,0,0.28058336,0.46648361,0.56818738,0.65139807,0.65680254,0.05568613
"55",154,81,0.23198736,0.24298125,0.17640203,0.46498821,0.56636595,0.64930989,0.65469703,0.03132846
"56",155,81,0.57382316,0,0.30742627,0.46498821,0.56636595,0.64930989,0.65469703,0.04484694
"57",156,81,0.57570752,0,0,0.46498821,0.56636595,0.64930989,0.65469703,0.03452323
"58",157,81,0.57414228,0,0,0.46498821,0.56636595,0.64930989,0.65469703,0.09668845
"59",158,81,0.54295225,0,0,0.46498821,0.56636595,0.64930989,0.65469703,0.07880823
"60",159,81,0.55399126,0,0.28786577,0.46498821,0.56636595,0.64930989,0.65469703,0.111896
"61",160,81,0.54766247,0,0.29008681,0.46498821,0.56636595,0.64930989,0.65469703,0.16600223
"62",161,81,0.53916927,0,0.28935897,0.46498821,0.56636595,0.64930989,0.65469703,0.32126137
"63",163,81,0.58970813,0,0.29119546,0.46498821,0.56636595,0.64930989,0.65469703,0.1490654
"64",164,81,0.59278019,0,0.29119546,0.46498821,0.56636595,0.64930989,0.65469703,0.06826628
"65",165,81,0.53084161,0,0.29015228,0.46498821,0.56636595,0.64930989,0.65469703,0.04485152
"66",154,82,0.23100269,0.25219997,0,0.46348876,0.56453958,0.64721605,0.65258582,0.00652544
"67",155,82,0.23100269,0.23887922,0.17583318,0.46348876,0.56453958,0.64721605,0.65258582,0.01788484
"68",156,82,0.37300684,0,0.26472245,0.46348876,0.56453958,0.64721605,0.65258582,0.02192232
"69",157,82,0.57242425,0,0.3064349,0.46348876,0.56453958,0.64721605,0.65258582,0.07725174
"70",158,82,0.56461256,0,0,0.46348876,0.56453958,0.64721605,0.65258582,0.07429463
"71",159,82,0.57263109,0,0.19612491,0.46348876,0.56453958,0.64721605,0.65258582,0.06364896
"72",160,82,0.57623384,0,0.27878203,0.46348876,0.56453958,0.64721605,0.65258582,0.0615089
"73",161,82,0.57552942,0,0.29025644,0.46348876,0.56453958,0.64721605,0.65258582,0.11835011
"74",162,82,0.56433771,0,0,0.46348876,0.56453958,0.64721605,0.65258582,0.10578729
"75",163,82,0.57190762,0,0,0.46348876,0.56453958,0.64721605,0.65258582,0.09172782
"76",164,82,0.58009686,0,0.29025644,0.46348876,0.56453958,0.64721605,0.65258582,0.08018162
"77",152,83,0.39350489,0.26166641,0.23201062,0.46198546,0.56270852,0.64511683,0.65046919,0.00740868
